project_name,HSP90AA1,HSP90AB1,HSCB,DNAJA3,DNAJB6,HSPB1,GRPEL1,CRYAB,HSPA9,HSPE1,DNAJC15,TRAP1,DNAJB2,HSPD1,CCT6A,HSPB8,GRPEL2,CLPX,HSPB7,SDHAF1,DNAJC19,DNLZ
Kidney Renal Papillary Cell Carcinoma,-0.19475771258582217,0.10717517321709917,0.2969533512251814,0.11997260509142516,-0.015608249824660385,1.412838092114567,-0.49743936150185875,2.502110474767587,-0.38369069886264306,0.8933516982559434,-0.1374949172274802,0.3490811027612443,-0.3152658825495806,0.06553090963701465,0.35268479232078404,1.923082615679857,-0.15901433543905266,-0.5088796390693818,-4.490964373698542,0.09188213385179674,-0.8834109438051374,-0.40754571063730277
Liver Hepatocellular Carcinoma,0.3282355050300549,0.8629215389018129,-0.1681479202751228,-0.4234343138519912,0.43196880544619576,1.5207976809589152,-0.775621470432605,0.7965988106146694,-0.11275658714435785,0.32048520371703043,-0.6400645448944361,-0.36318696331341604,0.43465280913830645,-0.003762938453491162,0.7550936269920483,1.3433845020351431,0.5902460940870589,-0.9630446505298225,-0.028132348675529658,0.3516127389375897,-0.2995402229968295,0.3492844666766424
Lung Adenocarcinoma,9.21749740394644e-4,0.39931755798050733,0.28339752353676884,0.5264713546222599,-0.11520597075421883,0.5248827202466957,-0.0386130780736716,-2.211664592025162,0.24719699780215212,1.0619978808306243,-0.41817390651128394,0.8864255678208284,-0.24766809597567443,0.9841927190618911,0.8364023332339757,-2.209555451656251,-0.18471907576401778,-0.07373944187450047,-1.6809602855995516,0.08361841158669354,-0.09441968464618077,-0.10796304555906029
Lung Squamous Cell Carcinoma,0.056024591013519566,0.25689139044348747,0.18600228709826958,0.3841476017849576,0.04462201795918917,1.4400048341172818,-0.2404543926298223,-0.28564712938186737,-0.04968259507990867,0.9648685062346496,-1.4004378620094833,0.7423066844046788,-0.5601874905584149,0.9932717023533398,1.0830153058932168,-2.586363848397232,-0.12182014042495244,-0.3173230755408109,-3.2849616057064073,0.04151731788108506,0.5775419758703674,-0.5921945037925019
Pancreatic Adenocarcinoma,0.38060977508673877,0.13365756394041156,-0.07141555075239044,0.10247826341429135,-0.18612948320401235,-0.34724658808818337,0.12701925054307162,-1.4531895345741481,0.1373962242597796,0.5915075531789341,-0.0055649604054752696,0.19037017343980625,0.021945499125772094,0.4711143458946511,0.012060389003353352,-1.2789561518262484,-0.06327157995786957,-0.35314344745885445,-0.32222784399536986,0.06939733530427326,-0.030069292651522934,-0.6634425250697675
Pheochromocytoma and Paraganglioma,0.5549946683013387,0.9381213557823653,-0.19820618578466465,-0.8076654363041718,0.4435123208178178,0.7838562336552635,-1.9622859078044537,0.9600181203471023,-0.772098308045623,-2.1949446645205266,0.19965453164534008,0.005149572907366601,0.2864054480812419,-2.5533341500741362,0.3786780281876162,3.7095252594250803,0.9234648801734148,-0.7976403616926833,1.126286839595656,0.5522651074034858,-0.389695776519994,1.3479628665783525
Prostate Adenocarcinoma,-0.40205817306115527,0.08254748326702664,0.19286595694499198,0.05789423356999689,-0.4692476811874902,-0.9263399602484482,0.16097856310259598,-1.623482320780525,0.13118752859945215,0.6639277877988822,-1.3697495091381124,0.31471279488353965,0.03399843083639501,0.5093915741221029,0.18822953516059493,-1.978239389526176,0.21092568927167948,0.02884941903549578,-1.3643419313976,0.2544685298041994,0.1920350841374285,0.7968588330481083
Rectum Adenocarcinoma,0.2623234227156401,0.7696013468793802,-0.5292589287329813,0.5057001990062345,-0.29556670700865256,0.00660246966088721,0.08972623110106935,-2.9417040618161834,0.07152362739763515,0.9600819332766569,0.27653495228090236,1.3132936110384035,-0.29361316516311803,0.9147333614494446,0.7491996719731892,-4.655312359758365,0.4952883918012905,-0.45401295604348874,-2.933633391973367,0.07042927792983188,-0.3738322857376258,1.0687259618661336
Stomach Adenocarcinoma,0.8499735381761344,0.7804979576386182,-0.32783542575095415,0.1222956403728088,-0.33132117307285025,-1.2438090331580993,-0.09783787029009697,-2.353985608392698,0.36699516835323504,0.8420619952198206,0.08705142504199322,0.24272602628362405,-0.40655150129695344,1.1181391103653915,0.8513257357640456,-2.557114503216254,-0.8147957704070415,-0.20256922159270382,-1.8443438488664157,-0.5571016477854206,-0.16624372700356518,-3.225246249271218e-5
Thyroid Carcinoma,-0.03750529344379762,0.14061479366577526,0.2106056758777713,0.13218810395764868,-0.1027037612737665,0.30343255609741515,-0.0829008444963113,-1.3426624536507648,-0.00367510626948389,-0.10580032745061876,0.1510364493369096,0.08508170721256966,0.1322597707258206,0.11854626552120832,0.25789649925761077,-1.0583729059321783,-0.05565003057875198,0.2252701658893476,-0.005597639612863179,0.15684803090964386,-0.11965346845336318,0.4364683541384669
Uterine Corpus Endometrial Carcinoma,0.4212313458944633,-0.25994260227281263,0.2278241035003334,0.13429595112656378,-0.6018400405962068,0.20186351147205805,0.22134667010738698,-1.3481973321765366,0.25601069578785607,1.5563725223929765,0.6494855455093317,0.43182699103770095,0.12083305798811143,0.5808788880905292,0.4846223559452862,-2.7762925946891976,-0.05200701380135755,-0.4745151915250392,-4.894363834564378,-0.08407202202845553,0.020560922237256557,0.14923235930817957
