source	target	weight	module1	module2
DIPK2B	TIE1	0.9538816599357786	blue	blue
AC091182.2	LINC01605	0.9538528867367959	pink	pink
RHOH	SASH3	0.9538080370211667	turquoise	turquoise
C1QA	LAIR1	0.9537335470449809	turquoise	turquoise
GPR174	P2RY10	0.9536919007106512	turquoise	turquoise
IGKC	IGKV1-5	0.9536269341223095	turquoise	turquoise
C1QA	MS4A6A	0.9535619221875798	turquoise	turquoise
CD53	NCKAP1L	0.9534511660958206	turquoise	turquoise
AC011297.1	TBL1Y	0.953441667884444	bisque4	bisque4
KDM5D	USP9Y	0.9534215017117093	bisque4	bisque4
CD3E	P2RY10	0.9533807364910585	turquoise	turquoise
MS4A6A	SPI1	0.9533448127279409	turquoise	turquoise
HLA-DPA1	HLA-DPB1	0.9533026265766147	turquoise	turquoise
CD2	CD3D	0.9532671858045568	turquoise	turquoise
CD74	HLA-DRA	0.9531736905483885	turquoise	turquoise
LMOD1	MYH11	0.9531647983814705	blue	blue
CD3E	TRBC1	0.9530931417351568	turquoise	turquoise
NKG7	PRF1	0.9529528247808285	turquoise	turquoise
GIMAP4	GIMAP7	0.9528495464110984	turquoise	turquoise
CD48	SLAMF6	0.9527973182336279	turquoise	turquoise
LAPTM5	SPI1	0.9527218908462298	turquoise	turquoise
IGHV3-21	IGKV3-11	0.9527087779699713	turquoise	turquoise
CD53	EVI2A	0.9526616427748305	turquoise	turquoise
SLAMF6	ZNF831	0.9525880221118265	turquoise	turquoise
CD3E	SPN	0.9524266584282451	turquoise	turquoise
CD2	PDCD1	0.9524069819753858	turquoise	turquoise
CYBB	PLEK	0.9523765822541367	turquoise	turquoise
CDH5	DIPK2B	0.9523129845015196	blue	blue
P2RY10	TRAT1	0.9522089423598917	turquoise	turquoise
DDX3Y	TXLNGY	0.9521185588298969	bisque4	bisque4
PPP1R14B	PPP1R14BP3	0.9520609856762836	darkorange	darkorange
CXorf21	SASH3	0.9518165842047639	turquoise	turquoise
IGKC	MZB1	0.9516063152367383	turquoise	turquoise
SASH3	SLAMF6	0.9515698066354555	turquoise	turquoise
CT45A10	SAGE1	0.9515459951321158	steelblue	steelblue
AC010889.1	TXLNGY	0.9514785709919129	bisque4	bisque4
ITGAL	TRAC	0.9514590949040153	turquoise	turquoise
C1QA	HAVCR2	0.9514095678918303	turquoise	turquoise
DOK2	LRRC25	0.9513777572967889	turquoise	turquoise
IL10RA	MPEG1	0.9513668879638663	turquoise	turquoise
AOAH	MPEG1	0.9513200496855365	turquoise	turquoise
LST1	TNFAIP8L2	0.9513096010022507	turquoise	turquoise
IGKC	IGKV3-11	0.9512548605748699	turquoise	turquoise
COL4A1	COL4A2	0.951166378523691	blue	blue
IGKC	IGKV3-20	0.9510752965174231	turquoise	turquoise
C3AR1	LRRC25	0.9509883371350683	turquoise	turquoise
HAVCR2	LAIR1	0.950897719480748	turquoise	turquoise
BTK	SASH3	0.9508253609142191	turquoise	turquoise
SASH3	WAS	0.9507735270433484	turquoise	turquoise
ITGAL	UBASH3A	0.950729766804817	turquoise	turquoise
IGKV1-39	IGKV1D-39	0.9506946259767624	turquoise	turquoise
H2BC19P	H2BC20P	0.950668970281903	lightsteelblue1	lightsteelblue1
P2RY10	SLAMF6	0.9505602899005511	turquoise	turquoise
C1QB	SPI1	0.9505069756777674	turquoise	turquoise
CNN1	DES	0.9504435758959446	blue	blue
ARHGAP9	WAS	0.9503603825900505	turquoise	turquoise
BTK	WDFY4	0.9503094324880725	turquoise	turquoise
CD48	CD52	0.9502922544980514	turquoise	turquoise
CD2	ITGAL	0.9501510508493822	turquoise	turquoise
SLAMF1	SLAMF6	0.9500987417382987	turquoise	turquoise
AOAH	IL10RA	0.9500361191103368	turquoise	turquoise
ITGAL	SASH3	0.9500158183396991	turquoise	turquoise
S100A8	S100A9	0.9500142490945003	pink	pink
CYBB	LAIR1	0.9499936313732058	turquoise	turquoise
CD84	ITGB2	0.9498338596688471	turquoise	turquoise
CYBB	TLR8	0.9498000763118549	turquoise	turquoise
KCNMB1	LMOD1	0.9496427661935849	blue	blue
GIMAP1	GIMAP7	0.9495712875274126	turquoise	turquoise
AIF1	RNASE6	0.9495242529625785	turquoise	turquoise
ITGAL	SLAMF6	0.9494977733756989	turquoise	turquoise
AOAH	MS4A6A	0.9494533819934355	turquoise	turquoise
ITK	ZNF831	0.9494400423146039	turquoise	turquoise
C3AR1	ITGB2	0.949351414835641	turquoise	turquoise
AIF1	TNFAIP8L2	0.9493311855784261	turquoise	turquoise
BTK	WAS	0.9492480954840261	turquoise	turquoise
FCER1G	LRRC25	0.9492061167777833	turquoise	turquoise
IGLC2	IGLV3-1	0.9491616428817133	turquoise	turquoise
CD3E	SH2D1A	0.9491242236533031	turquoise	turquoise
CD48	CD53	0.949070097467849	turquoise	turquoise
SASH3	WDFY4	0.9488977207299429	turquoise	turquoise
CD3E	GPR174	0.9488242305195861	turquoise	turquoise
ARHGAP9	PTPN7	0.9488227926879294	turquoise	turquoise
ACTG2	LMOD1	0.9488130035452962	blue	blue
C3AR1	CD163	0.948788949524992	turquoise	turquoise
CD3G	TRAC	0.9487769884143272	turquoise	turquoise
PLEK	PTPRC	0.9487105701683388	turquoise	turquoise
HAVCR2	LILRB2	0.9486276483587043	turquoise	turquoise
CD3E	UBASH3A	0.9485768668697679	turquoise	turquoise
ITK	SLAMF6	0.9485100460271928	turquoise	turquoise
IGKC	IGLC3	0.948474606889774	turquoise	turquoise
TXLNGY	USP9Y	0.9483945748060713	bisque4	bisque4
IL21R	PTPN7	0.9483601336937278	turquoise	turquoise
BTLA	ZNF831	0.9482067210559567	turquoise	turquoise
LAIR1	LRRC25	0.9480961394352984	turquoise	turquoise
CD3G	ITK	0.9480442225479558	turquoise	turquoise
RHOJ	TIE1	0.9480059532435925	blue	blue
CD48	SCIMP	0.947990590185009	turquoise	turquoise
IL10RA	WAS	0.9478730121665998	turquoise	turquoise
AOAH	CD53	0.9478362726552513	turquoise	turquoise
IGLC2	IGLC3	0.9477959745246358	turquoise	turquoise
RNASE6	SPI1	0.9477699359967127	turquoise	turquoise
C1QA	C3AR1	0.9475424761577415	turquoise	turquoise
AC103702.2	HOXB-AS4	0.9475418304628687	purple	purple
CD163	MS4A4A	0.9475071800105302	turquoise	turquoise
CD53	RNASE6	0.9474304415491872	turquoise	turquoise
GPR65	SASH3	0.9474228151542723	turquoise	turquoise
DSCR4	DSCR8	0.9473593562262274	lightcyan	lightcyan
IGKV1-5	IGKV3-11	0.9473081352909241	turquoise	turquoise
TRAC	TRBC1	0.9472193106844751	turquoise	turquoise
CD3E	PTPN7	0.9471924304081498	turquoise	turquoise
RNASE6	TYROBP	0.9471397483047874	turquoise	turquoise
BTK	CD48	0.9471199624777721	turquoise	turquoise
LRRC25	TYROBP	0.946978565866725	turquoise	turquoise
CD3E	GPR171	0.9469618585734814	turquoise	turquoise
CD2	PTPN7	0.9469408297841992	turquoise	turquoise
CD27	SLAMF6	0.9469005260202534	turquoise	turquoise
CD3E	SLAMF6	0.9468909617540956	turquoise	turquoise
ITGB2	PLEK	0.9468747824064255	turquoise	turquoise
CD53	LCP2	0.9468568777183303	turquoise	turquoise
IGHV3-23	IGKV3-11	0.9468509741623542	turquoise	turquoise
AIF1	DOK2	0.9468271833868709	turquoise	turquoise
ITK	PTPRC	0.9467999852212492	turquoise	turquoise
CD3E	SASH3	0.9467378855058554	turquoise	turquoise
CD3D	CD3E	0.9466620728889731	turquoise	turquoise
SASH3	SNX20	0.9466538829887183	turquoise	turquoise
SLAMF8	TLR8	0.9466149220573368	turquoise	turquoise
IGKJ1	TNFRSF17	0.9466144585916284	turquoise	turquoise
MZB1	TNFRSF17	0.9465928320765169	turquoise	turquoise
TRAC	UBASH3A	0.94654675117846	turquoise	turquoise
CD84	TLR8	0.9465432644937871	turquoise	turquoise
FCRL5	IGLL5	0.9465357081072263	turquoise	turquoise
KRT16P4	KRT16P5	0.946443107689322	pink	pink
MAGEA4	MAGEA4-AS1	0.9463887010437962	steelblue	steelblue
CKMT1A	CKMT1B	0.9463193235142079	tan	tan
ARHGAP9	RASAL3	0.9462674748516423	turquoise	turquoise
AC090559.1	MS4A6A	0.9462576688035778	turquoise	turquoise
HLA-DPB1	HLA-DRA	0.9462508261872592	turquoise	turquoise
AC106771.1	LINC01194	0.9462288470285009	lightcyan	lightcyan
CD53	SCIMP	0.946167694561193	turquoise	turquoise
AOAH	TLR8	0.9460573793369452	turquoise	turquoise
CD27	ZNF831	0.9460573520282448	turquoise	turquoise
IL10RA	PLEK	0.9460116173210702	turquoise	turquoise
AL365361.1	KCNA3	0.9459658948386502	turquoise	turquoise
MS4A1	TNFRSF13B	0.945955216272216	turquoise	turquoise
GPR65	SPI1	0.9459547799857625	turquoise	turquoise
CNN1	MYH11	0.9459401850731661	blue	blue
COL6A1	COL6A2	0.945775195917738	blue	blue
EVI2B	PTPRC	0.9457546937293644	turquoise	turquoise
IGHGP	IGLC2	0.945637749683377	turquoise	turquoise
FABP5P1	FABP5P7	0.9456342069752508	pink	pink
GPR65	LILRB1	0.945591295953571	turquoise	turquoise
CD3E	PDCD1	0.9455797024680033	turquoise	turquoise
CYTH4	LRRC25	0.945551153028064	turquoise	turquoise
HPSE2	MYH11	0.9455327431261025	blue	blue
CD48	WAS	0.9455068561503437	turquoise	turquoise
GPR174	TRAC	0.945468736844682	turquoise	turquoise
AC004080.1	EVX1-AS	0.9454096705229592	yellow	yellow
BTK	NCKAP1L	0.9452573625876589	turquoise	turquoise
FCRL1	MS4A1	0.9452406225869406	turquoise	turquoise
PTPRC	SPN	0.9452266655669518	turquoise	turquoise
LILRB2	LRRC25	0.9451010494368158	turquoise	turquoise
CD84	NCKAP1L	0.9450240238785719	turquoise	turquoise
IGKC	IGLV3-1	0.9449892115043702	turquoise	turquoise
C3AR1	CYBB	0.9449852142258646	turquoise	turquoise
CD48	SLAMF1	0.9449667937896988	turquoise	turquoise
CD48	ITGAL	0.9449605597963922	turquoise	turquoise
EIF1AY	USP9Y	0.94493240783732	bisque4	bisque4
IGHG1	IGLV3-1	0.94491757891238	turquoise	turquoise
C3AR1	LILRB2	0.9448960493222135	turquoise	turquoise
DSCR4	DSCR4-IT1	0.9448468717170816	lightcyan	lightcyan
AC011455.8	FBXO27	0.9447989912505993	yellow	yellow
ITGB2	MNDA	0.944779503744064	turquoise	turquoise
CXorf21	MPEG1	0.9446732643562814	turquoise	turquoise
CD48	RASAL3	0.944624562402326	turquoise	turquoise
MS4A4A	MS4A6A	0.9444272302399948	turquoise	turquoise
BTK	CD37	0.9443589072450636	turquoise	turquoise
LY86	RNASE6	0.9443516355952828	turquoise	turquoise
IL10RA	SASH3	0.944301707468737	turquoise	turquoise
SH2D1A	TRAC	0.9442957992424499	turquoise	turquoise
CD48	RHOH	0.9442886201308585	turquoise	turquoise
ITGAL	TBC1D10C	0.9442772353577706	turquoise	turquoise
PRKY	RPS4Y1	0.9442655704762767	bisque4	bisque4
SASH3	SCIMP	0.9442030808622502	turquoise	turquoise
ARSDP1	GYG2P1	0.9441997191160627	bisque4	bisque4
ACTG2	DES	0.9441772364609214	blue	blue
ACTA2	CNN1	0.9441511632725016	blue	blue
AC090559.1	CYBB	0.9441252738732125	turquoise	turquoise
CD84	SLCO2B1	0.9441052697478838	turquoise	turquoise
MS4A6A	SLCO2B1	0.9440373428507145	turquoise	turquoise
AL499602.1	RASEF	0.9439967087575145	yellow	yellow
CD84	LAIR1	0.9439607933442258	turquoise	turquoise
BTK	SCIMP	0.9439560801048738	turquoise	turquoise
SELPLG	SLA	0.9439491874807387	turquoise	turquoise
CD2	TRBC1	0.9439208206906108	turquoise	turquoise
CD53	MS4A6A	0.9438905464687233	turquoise	turquoise
CYBB	SPI1	0.9438813483267069	turquoise	turquoise
AL365181.3	AL590666.2	0.943768464076477	grey60	grey60
AC010889.1	KDM5D	0.9437568742679391	bisque4	bisque4
BTK	EVI2B	0.9437420810709103	turquoise	turquoise
AIF1	C3AR1	0.9437280974097761	turquoise	turquoise
CXCR3	ITGAL	0.9437160295139123	turquoise	turquoise
PRKY	ZFY	0.9437053799203285	bisque4	bisque4
CD48	EVI2B	0.9437015773347903	turquoise	turquoise
SASH3	SLAMF1	0.9436983557282813	turquoise	turquoise
SCML4	SLAMF6	0.9436871431064107	turquoise	turquoise
CD53	CYTH4	0.9436444584539629	turquoise	turquoise
CD2	IL21R	0.943619342715484	turquoise	turquoise
DOK2	TYROBP	0.943594992330441	turquoise	turquoise
CYBB	MS4A6A	0.9435888335145739	turquoise	turquoise
IGHV3-21	IGKV3-15	0.9435874603710989	turquoise	turquoise
CD53	MPEG1	0.9435028992373499	turquoise	turquoise
RASAL3	WAS	0.9434668550702575	turquoise	turquoise
CD163	SLCO2B1	0.94342343178499255	turquoise	turquoise
C3AR1	SLCO2B1	0.943418316122476	turquoise	turquoise
YWHAZP10	YWHAZP5	0.9433825569509876	greenyellow	greenyellow
SLA	SPI1	0.9433362886139389	turquoise	turquoise
CXorf21	PLEK	0.9432744583793686	turquoise	turquoise
CD84	PTPRC	0.9432697282519474	turquoise	turquoise
HAVCR2	SLA	0.9432347505699537	turquoise	turquoise
FCER1G	MS4A6A	0.9431950558564768	turquoise	turquoise
HLA-DMB	HLA-DPA1	0.943136140240393	turquoise	turquoise
IGLL5	MZB1	0.9431081025083549	turquoise	turquoise
ADGRA2	DDR2	0.94309562851341	blue	blue
IGKC	IGKV4-1	0.9430350578823561	turquoise	turquoise
CXorf21	IL10RA	0.9429899535267662	turquoise	turquoise
BLK	MS4A1	0.9429351720029303	turquoise	turquoise
KRT8P11	KRT8P45	0.9429269810707382	lightpink4	lightpink4
LAIR1	LAPTM5	0.9428923009904622	turquoise	turquoise
FCGR1A	TYROBP	0.9428777190393848	turquoise	turquoise
CD53	TLR8	0.9428259115318506	turquoise	turquoise
CD2	SH2D1A	0.9428224756881539	turquoise	turquoise
HK3	TMEM150B	0.9428090477183639	turquoise	turquoise
BLK	TNFRSF13B	0.9427959507078311	turquoise	turquoise
SH2D1A	ZNF831	0.9427776128899237	turquoise	turquoise
C3AR1	DOK2	0.9426731504906124	turquoise	turquoise
CD48	WDFY4	0.9426375012826882	turquoise	turquoise
NONOP2	RPS12P3	0.9425767176169453	black	black
ITGAL	SH2D1A	0.9425414639880858	turquoise	turquoise
RHOH	SLAMF6	0.9424835851454564	turquoise	turquoise
AIF1	SELPLG	0.9424506369772578	turquoise	turquoise
IGHV3-23	IGKC	0.942355027358992	turquoise	turquoise
LINC00165	PICSAR	0.9423511829204041	darkred	darkred
CD79A	FCRL5	0.9423109817136032	turquoise	turquoise
CYBB	SLCO2B1	0.9422959578521659	turquoise	turquoise
IGKJ1	MZB1	0.942259251853104	turquoise	turquoise
ARHGAP9	CD53	0.9422413097127192	turquoise	turquoise
CDH5	TIE1	0.9422284440274866	blue	blue
IGKC	IGKV3-15	0.9421882908252676	turquoise	turquoise
ITGB2	TLR8	0.9421851771130972	turquoise	turquoise
MPEG1	MS4A6A	0.9421668845562728	turquoise	turquoise
IGKV3-11	IGLC2	0.9421173791140225	turquoise	turquoise
CD3E	SLAMF1	0.9420478559632351	turquoise	turquoise
AOAH	CD84	0.9419697998166768	turquoise	turquoise
FCER1G	FCGR1A	0.9419490826788439	turquoise	turquoise
LAIR1	RNASE6	0.9419380336567105	turquoise	turquoise
P2RY10	TRAC	0.9419072777500017	turquoise	turquoise
C3AR1	SIGLEC9	0.9418852598570712	turquoise	turquoise
SLAMF6	TBC1D10C	0.9418695439712604	turquoise	turquoise
GPR174	ITK	0.9418327419891226	turquoise	turquoise
IGHG3	IGKC	0.9418207105059101	turquoise	turquoise
LILRB1	PLEK	0.941774535207459	turquoise	turquoise
SIGLEC9	TYROBP	0.941744643118822	turquoise	turquoise
AC007092.1	LINC01793	0.941699153635577	lightcyan	lightcyan
AIF1	C1orf162	0.9416304682605234	turquoise	turquoise
LST1	TYROBP	0.9416193207692801	turquoise	turquoise
HAVCR2	ITGB2	0.941555985428565	turquoise	turquoise
IGKV3-11	IGKV3-15	0.9414436698221061	turquoise	turquoise
C1QC	DOK2	0.9414400973291499	turquoise	turquoise
ARHGAP9	TBC1D10C	0.9413980238631425	turquoise	turquoise
CD3E	CD7	0.9413926948201969	turquoise	turquoise
NCKAP1L	WDFY4	0.9413522145910361	turquoise	turquoise
C3AR1	TLR8	0.9412842940055575	turquoise	turquoise
IGKV3-11	MZB1	0.9412800507834018	turquoise	turquoise
LILRB1	SPI1	0.9412660102481699	turquoise	turquoise
P2RY10	TRBC1	0.9412458528777063	turquoise	turquoise
CYTH4	TNFAIP8L2	0.9412433447759844	turquoise	turquoise
CD48	P2RY10	0.9412128255538997	turquoise	turquoise
CD3G	UBASH3A	0.9411376880980228	turquoise	turquoise
CD3G	GPR174	0.9411228026541945	turquoise	turquoise
ACTA2	ACTG2	0.9410848636328751	blue	blue
BTK	CXorf21	0.9410090174651119	turquoise	turquoise
CYTH4	SASH3	0.9410077053828307	turquoise	turquoise
IGLC2	MZB1	0.9409782187900702	turquoise	turquoise
CYBB	MPEG1	0.9409456926481218	turquoise	turquoise
LAIR1	LILRB4	0.9409190626404562	turquoise	turquoise
CXCR3	UBASH3A	0.9408896494717266	turquoise	turquoise
GPR65	LAPTM5	0.9408633518238764	turquoise	turquoise
HAVCR2	LILRB4	0.9408430428180492	turquoise	turquoise
FABP5	FABP5P7	0.9408133873794939	pink	pink
LAIR1	NFAM1	0.9407865792547307	turquoise	turquoise
AIF1	HAVCR2	0.9407788214082602	turquoise	turquoise
HAVCR2	MNDA	0.9407585924465758	turquoise	turquoise
C3AR1	CMKLR1	0.9407076197945479	turquoise	turquoise
DACT3	LMOD1	0.9407006833352245	blue	blue
IKZF1	PTPRC	0.9406604996949399	turquoise	turquoise
LILRB2	SPI1	0.9406393117008867	turquoise	turquoise
LMOD1	TAGLN	0.9406190940162045	blue	blue
ITGAL	ITK	0.9406134865213526	turquoise	turquoise
C1orf162	SLA	0.9406049136394414	turquoise	turquoise
HAVCR2	MS4A6A	0.9405992268092893	turquoise	turquoise
