gene1,gene2,correlation,project_id,project_name,grid_position
CCT6A,HSPB7,-0.2864823726142186,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CCT6A,HSPB8,-0.18100751331507672,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CCT6A,HSPD1,0.28814610949488195,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CCT6A,HSPE1,-0.28282795705426916,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CCT6A,SDHAF1,-0.3411913014501411,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CCT6A,TRAP1,0.33684722030482517,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CLPX,CCT6A,0.2969924672451363,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CLPX,CLPX,1,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CLPX,CRYAB,-0.3171232667815639,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CLPX,DNAJA3,0.6302977130119075,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CLPX,DNAJB2,-0.4270231412208832,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CLPX,DNAJB6,0.3007388297940983,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CLPX,DNAJC15,-0.4127365872674925,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CLPX,DNAJC19,-0.2026626206760153,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CLPX,DNLZ,-0.26872146900706156,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CLPX,GRPEL1,-0.20742562135133752,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CLPX,GRPEL2,0.4253249436694783,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CLPX,HSCB,-0.345369314845185,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CLPX,HSP90AA1,-0.015668491981561696,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CLPX,HSP90AB1,0.4213990182263387,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CLPX,HSPA9,0.6757834079255439,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CLPX,HSPB1,-0.5658002032757553,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CLPX,HSPB7,-0.1503801662573806,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CLPX,HSPB8,-0.17893194429407444,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CLPX,HSPD1,0.35112482575836057,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CLPX,HSPE1,-0.4949140730401419,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CLPX,SDHAF1,-0.5689867843563099,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CLPX,TRAP1,0.5813372019664574,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CRYAB,CCT6A,-0.4490438097002966,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CRYAB,CLPX,-0.3171232667815639,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CRYAB,CRYAB,1,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CRYAB,DNAJA3,-0.23433445455729388,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CRYAB,DNAJB2,0.1492293172355453,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CRYAB,DNAJB6,-0.42931423893299486,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CRYAB,DNAJC15,0.23038287255510098,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CRYAB,DNAJC19,0.060094438421355055,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CRYAB,DNLZ,0.15961452439630144,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CRYAB,GRPEL1,0.07347528373719996,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CRYAB,GRPEL2,-0.06401645226467301,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CRYAB,HSCB,0.35531042414494174,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CRYAB,HSP90AA1,-0.40746421062005717,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CRYAB,HSP90AB1,-0.37488722686100184,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CRYAB,HSPA9,-0.3155637127557388,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CRYAB,HSPB1,0.10875465595805915,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CRYAB,HSPB7,0.2674874312610981,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CRYAB,HSPB8,0.493999343546578,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CRYAB,HSPD1,-0.3436086950628233,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CRYAB,HSPE1,0.29036522219819244,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CRYAB,SDHAF1,0.2716465033798312,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
CRYAB,TRAP1,-0.2998885249913305,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJA3,CCT6A,0.32005041508436494,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJA3,CLPX,0.6302977130119075,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJA3,CRYAB,-0.23433445455729388,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJA3,DNAJA3,1,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJA3,DNAJB2,-0.6518750053523569,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJA3,DNAJB6,0.2232277542874366,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJA3,DNAJC15,-0.4155098465263331,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJA3,DNAJC19,-0.24587771466410802,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJA3,DNLZ,-0.29326551159903447,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJA3,GRPEL1,-0.09081604552145803,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJA3,GRPEL2,0.42933355853503596,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJA3,HSCB,-0.45903762868752457,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJA3,HSP90AA1,0.09851304356562993,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJA3,HSP90AB1,0.2701671912874354,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJA3,HSPA9,0.5746558961800401,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJA3,HSPB1,-0.6514869936878983,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJA3,HSPB7,-0.28345311674735685,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJA3,HSPB8,-0.09188353703770763,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJA3,HSPD1,0.37827601942422817,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJA3,HSPE1,-0.34465397872570797,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJA3,SDHAF1,-0.7368006951712349,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJA3,TRAP1,0.7709993200833948,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB2,CCT6A,-0.33091269207785906,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB2,CLPX,-0.4270231412208832,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB2,CRYAB,0.1492293172355453,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB2,DNAJA3,-0.6518750053523569,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB2,DNAJB2,1,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB2,DNAJB6,0.07965894577261301,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB2,DNAJC15,0.37913968677313237,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB2,DNAJC19,0.40559970180001426,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB2,DNLZ,0.174227443833395,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB2,GRPEL1,-0.041362833038434826,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB2,GRPEL2,-0.3703123318014537,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB2,HSCB,0.4623358642851354,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB2,HSP90AA1,-0.12937602836545184,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB2,HSP90AB1,-0.3581509260192812,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB2,HSPA9,-0.4981583461639437,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB2,HSPB1,0.6478429189163216,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB2,HSPB7,0.36148411525773266,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB2,HSPB8,0.2034602017376407,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB2,HSPD1,-0.4086557927547749,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB2,HSPE1,0.02033792349752822,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB2,SDHAF1,0.6550894403774767,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB2,TRAP1,-0.7085485228580146,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB6,CCT6A,0.20014721249911133,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB6,CLPX,0.3007388297940983,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB6,CRYAB,-0.42931423893299486,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB6,DNAJA3,0.2232277542874366,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB6,DNAJB2,0.07965894577261301,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB6,DNAJB6,1,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB6,DNAJC15,-0.33837300244792373,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB6,DNAJC19,-0.0034378526970642743,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB6,DNLZ,-0.263466579685862,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB6,GRPEL1,-0.30696236642634533,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB6,GRPEL2,-0.024871681121895372,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB6,HSCB,-0.3153158745622996,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB6,HSP90AA1,0.19641048216853693,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB6,HSP90AB1,-0.04172378052807084,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB6,HSPA9,0.10827590933331788,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB6,HSPB1,0.1622581819209005,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB6,HSPB7,-0.07736840038958907,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB6,HSPB8,0.15444251877542525,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB6,HSPD1,-0.06458116412330728,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB6,HSPE1,-0.49908916249296065,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB6,SDHAF1,-0.3170894898066962,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJB6,TRAP1,0.03716411395466222,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC15,CCT6A,-0.22955748899603784,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC15,CLPX,-0.4127365872674925,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC15,CRYAB,0.23038287255510098,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC15,DNAJA3,-0.4155098465263331,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC15,DNAJB2,0.37913968677313237,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC15,DNAJB6,-0.33837300244792373,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC15,DNAJC15,1,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC15,DNAJC19,0.30985695890459064,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC15,DNLZ,0.29430666276775963,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC15,GRPEL1,0.04040958325496398,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC15,GRPEL2,-0.30407240626487086,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC15,HSCB,0.3716079198800386,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC15,HSP90AA1,-0.21694339227654175,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC15,HSP90AB1,-0.12609774832562,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC15,HSPA9,-0.4279669333203415,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC15,HSPB1,0.27451035106495647,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC15,HSPB7,-0.003976714779608583,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC15,HSPB8,0.0534226133999552,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC15,HSPD1,-0.3324115156070262,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC15,HSPE1,0.12422989806666176,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC15,SDHAF1,0.511916781530111,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC15,TRAP1,-0.3325522548330278,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC19,CCT6A,0.025685531918984213,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC19,CLPX,-0.2026626206760153,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC19,CRYAB,0.060094438421355055,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC19,DNAJA3,-0.24587771466410802,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC19,DNAJB2,0.40559970180001426,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC19,DNAJB6,-0.0034378526970642743,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC19,DNAJC15,0.30985695890459064,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC19,DNAJC19,1,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC19,DNLZ,0.26160033336601396,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC19,GRPEL1,0.018211324062942163,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC19,GRPEL2,-0.2387068064141101,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC19,HSCB,0.3251537483927762,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC19,HSP90AA1,-0.19853004777742528,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC19,HSP90AB1,-0.16161059912559045,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC19,HSPA9,-0.2928658025022405,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC19,HSPB1,0.2957758285766195,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC19,HSPB7,0.031552466534832284,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC19,HSPB8,0.21144139278827628,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC19,HSPD1,-0.4458919534193237,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC19,HSPE1,0.1288746737288873,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC19,SDHAF1,0.49381542940547507,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNAJC19,TRAP1,-0.37557232207422425,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNLZ,CCT6A,-0.16730556366773233,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNLZ,CLPX,-0.26872146900706156,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNLZ,CRYAB,0.15961452439630144,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNLZ,DNAJA3,-0.29326551159903447,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNLZ,DNAJB2,0.174227443833395,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNLZ,DNAJB6,-0.263466579685862,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNLZ,DNAJC15,0.29430666276775963,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNLZ,DNAJC19,0.26160033336601396,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNLZ,DNLZ,1,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNLZ,GRPEL1,0.09108898937404396,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNLZ,GRPEL2,-0.003339346725012613,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNLZ,HSCB,0.15378044300974872,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNLZ,HSP90AA1,-0.19012213395928448,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNLZ,HSP90AB1,-0.2582442124893452,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNLZ,HSPA9,-0.355636586261104,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNLZ,HSPB1,0.1291483470852867,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNLZ,HSPB7,0.09123482166740596,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNLZ,HSPB8,0.13289784468241128,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNLZ,HSPD1,-0.2912620321426144,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNLZ,HSPE1,0.19168899240910348,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNLZ,SDHAF1,0.32679114272182386,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
DNLZ,TRAP1,-0.3868238598689336,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
GRPEL1,CCT6A,-0.2595311046988583,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
GRPEL1,CLPX,-0.20742562135133752,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
GRPEL1,CRYAB,0.07347528373719996,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
GRPEL1,DNAJA3,-0.09081604552145803,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
GRPEL1,DNAJB2,-0.041362833038434826,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
GRPEL1,DNAJB6,-0.30696236642634533,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
GRPEL1,DNAJC15,0.04040958325496398,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
GRPEL1,DNAJC19,0.018211324062942163,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
GRPEL1,DNLZ,0.09108898937404396,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
GRPEL1,GRPEL1,1,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
GRPEL1,GRPEL2,0.14565225421424463,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
GRPEL1,HSCB,0.2674654840596656,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
GRPEL1,HSP90AA1,0.2575804478911621,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
GRPEL1,HSP90AB1,-0.005255281880938503,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
GRPEL1,HSPA9,0.02386031162919434,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
GRPEL1,HSPB1,0.07092467431606597,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
GRPEL1,HSPB7,-0.20538961168372846,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
GRPEL1,HSPB8,-0.33116509699169866,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
GRPEL1,HSPD1,0.15352594988522597,TCGA-DLBC,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,1
